# WHO ATC 5단계 코드 -> 영문 성분명 (구분자: |, 줄바꿈: LF)
# 출처: WHO ATC/DDD Index. 성분명에 쉼표가 있어 파이프 구분자를 사용한다.
atc_code|ingredient_en|is_combination
B02BD08|coagulation factor VIIa|N
B02BD10|von Willebrand factor|N
B02BD11|catridecacog|N
B02BD13|coagulation factor X|N
B02BD14|susoctocog alfa|N
B02BD30|thrombin|N
B02BX01|etamsylate|N
B02BX02|carbazochrome|N
B02BX03|batroxobin|N
B02BX04|romiplostim|N
B02BX05|eltrombopag|N
B02BX06|emicizumab|N
B02BX07|lusutrombopag|N
B02BX08|avatrombopag|N
B02BX09|fostamatinib|N
B03AA01|ferrous glycine sulfate|N
B03AA02|ferrous fumarate|N
B03AA03|ferrous gluconate|N
B03AA04|ferrous carbonate|N
B03AA05|ferrous chloride|N
B03AA06|ferrous succinate|N
B03AA07|ferrous sulfate|N
B03AA08|ferrous tartrate|N
B03AA09|ferrous aspartate|N
B03AA10|ferrous ascorbate|N
B03AA11|ferrous iodine|N
B03AA12|ferrous sodium citrate|N
B03AB01|ferric sodium citrate|N
B03AB02|saccharated iron oxide|N
B03AB03|sodium feredetate|N
B03AB04|ferric hydroxide|N
B03AB05|ferric oxide polymaltose complexes|N
B03AB07|chondroitin sulfate-iron complex|N
B03AB08|ferric acetyl transferrin|N
B03AB09|ferric proteinsuccinylate|N
B03AB10|ferric maltol|N
B03AD01|ferrous amino acid complex|N
B03AD02|ferrous fumarate|N
B03AD03|ferrous sulfate|N
B03AD04|ferric oxide polymaltose complexes|N
B03AD05|ferrous gluconate|N
B03AE01|iron, vitamin B12 and folic acid|N
B03AE02|iron, multivitamins and folic acid|N
B03AE03|iron and multivitamins|N
B03AE04|iron, multivitamins and minerals|N
B03AE10|various combinations|N
B03BA01|cyanocobalamin|N
B03BA02|cyanocobalamin tannin complex|N
B03BA03|hydroxocobalamin|N
B03BA04|cobamamide|N
B03BA05|mecobalamin|N
B03BA51|cyanocobalamin|Y
B03BA53|hydroxocobalamin|Y
B03BB01|folic acid|N
B03BB51|folic acid|Y
B03XA01|erythropoietin|N
B03XA02|darbepoetin alfa|N
B03XA03|methoxy polyethylene glycol-epoetin beta|N
B03XA04|peginesatide|N
B03XA05|roxadustat|N
B03XA06|luspatercept|N
B05AA01|albumin|N
B05AA02|other plasma protein fractions|N
B05AA03|fluorocarbon blood substitutes|N
B05AA05|dextran|N
B05AA06|gelatin agents|N
B05AA07|hydroxyethylstarch|N
B05AA08|hemoglobin crosfumaril|N
B05AA09|hemoglobin raffimer|N
B05AA10|hemoglobin glutamer (bovine)|N
B05AX01|erythrocytes|N
B05AX02|thrombocytes|N
B05AX03|blood plasma|N
B05AX04|stem cells from umbilical cord blood|N
B05BA01|amino acids|N
B05BA02|fat emulsions|N
B05BA03|carbohydrates|N
B05BA04|protein hydrolysates|N
